TAGNT Mat-Jhn - Translators Amalgamated Greek NT -  STEPBible.org CC BY 4.0
TAGNT Act-Rev - Translators Amalgamated Greek NT -  STEPBible.org CC BY 4.0
(This is saved as 2  files because a single file too large for Hithub)
=================================================
All the words from standard Greek editions (NA27/28, TR, SBL, TH, Byz, WH, Treg) with translations, grammar, sources & variants marked with significance
=================================================================================================
Introduction at: 	https://docs.google.com/document/d/1a24mPFzfAEkDbGvNXvmTzVk5NawntoEozYYAgzM5VmE/preview	
Spreadsheet version at: 	https://docs.google.com/spreadsheets/d/16Y1OCgWcqZndmWP3CA3YfYMPjwxIRb0UMQt-cSS8Wdw/edit#gid=0	
Word version at:	https://drive.google.com/file/d/1kSPJdBuRARV8bNIMK0T1B5MomWnL77ak/view?usp=sharing

	==============================================================												
	Data created by www.STEPBible.org based on work at Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com..												
	==============================================================												

=======================================================================
Translators Amalgamated Greek New Testament - with translations, grammar, sources & variants for every word
=======================================================================
ALL the words from early Greek manuscripts, reflecting ALL the translations of the Bible.


Summary of words included in the Amalgamated Greek NT:
=====================================
WORD TYPES:	USAGE IN BIBLES			EDITIONS				
=NA same TR	133304 words are translated in both traditional KJV and modern Bibles.			NA27/28 + TR + others all having the same meaning				
=NA diff TR	3922 words may translate differently in traditional and modern Bibles.			NA27/28 + others having the same meaning but there are.also .. 				| Variants = different meanings in TR + others
=NA not TR	761 words are translated in most modern Bibles but not in the KJV.			NA27/28 + others having the same meaning but not TR				
=TR+NIV/ESV not NA	227 words are translated in the KJV and in some modern Bibles.			TR + others having the same meaning but not NA27/28				
=TR not NA,NIV/ESV	3573 words are translated in the KJV but not in most modern Bibles.			TR + others having the same meaning but not NA27/28				
Not in NA or TR	245 words occur in early manuscripts but not translated in most Bibles.			Others having a word that is not found in TR or NA27/28				


FIELD DESCRIPTIONS:
==============

Ref: Versification used by SBL and all modern texts. Significantly different from KJV at Mat.17.14; 20.4; Mrk.3.19; 12.15; Luk.1.74; 6.17; 7.19; Act.2.10; 3.19; 4.6; 5.40; 9.29; 13.39; 19.41; 24.18; Rom.7.9; 9.11; 2Co.1.6; 8.13; 10.5; 13.13; 13.14; Gal.2.20; Eph.1.11; 2.15; 5.13; Php.2.8; Col.1.21; 1Th.1.3; 2.6; 2.11; Heb.3.9; 7.21; 12.23; 1Pe.3.15; Rev.2.27; 13.1; 17.10; 
Word Type: Source of the word, privileging NA, then TR. 
Greek: spelling based on NA28 for NA, then TR if not in NA, then other Eds if in neither.  Cases and final accents based on the punctuation which follows THGHT
English is based on Berean Study Bible, with permission, as at 1-July02019. This covered only NA words. Others supplied by Tyndale scholars, and the complete work was unified in many ways. 
Extended Strong: Extended with words not used in the KJV. Backwardly compatible with standard Strongs and NASB tagging, as defined in the Brief Lexicon at https://STEPBible\.github.io/STEPBible-Data/
Morphology: Based on James Tuaber, with addtional details by Tyndale scholars: persons added to Personal, Reflexive and Possessive pronouns; distinguish 2nd verbal forms (e.g. 2nd Aorist); distinguished betweeen "Passive", "Either middle or Passive", "Deponent"
 - some changes have been made, including: 
	ἐμοῦ  A-GSMN => P-1GS @ Jhn.016.015
	ευθυς =G2117 A-MNSM "straight" => G2112 ADV "immediately" @ Mat.003.016; Mat.013.20; Mat.013.21; Mrk.001.012; Mrk.001.028; Jhn.013.032; Jhn.019.034; Jhn.021.003
	V-PAI-3P changed to V-PAP-DPM except for  εισι[ν] (G1510) which is V-PAI-3P while οὖσι[ν] (G1510) is V-PAP-DPM
	τίς etc changed from I-NSM etc to X-MNSM etc at Act.025.014; 1Co.010.019; Heb.010.025, 27, 28; 11.040; 12.15x2, 16; 13.002; Jas.001.005, 7, 18, 23, 26; 2.014, 16, 18; 3.002; 5.013x2, 14x2; 5.019x2; 1Pe.002.019
	G4302 changed to G4277 when προειπον  is used, ie 45_Act.001.016-A, 49_Gal.005.021-A, 53_1Th.004.006-A
	G4302 changed to G4280 when προερέω is used, ie 41_Mat.024.025-A, 42_Mrk.013.023-INSTW, 42_Mrk.013.023-B, 46_Rom.009.029-A, 48_2Co.007.003-A, 48_2Co.013.002-A, 49_Gal.001.009-A, 59_Heb.004.007-IMNSTW, 59_Heb.010.015-B, 62_2Pe.003.002-A, 66_Jud.001.017-A, 
	ποῦ =G4225 => G4226 at 42_Mrk.015.047-A, 44_Jhn.001.039-A, 63_1Jn.002.011-A
Lexical form & Gloss: from the TBESG - Tyndale Brief lexicon of Extended Strongs for Greek at https://STEPBible\.github.io/STEPBible-Data/
Editions: those which use the same letters, though they may be accented or capitalised differently. Byz=Byzantine based on RP;  NA27=Nestle-Aland 27th ed; NA28 2012 (this is NOT the same as ECM Acts - see eg Act.1.10 ἐσθῆτι in ECM); TR= Textus Receptus; SBL= SBLGNT; Treg= Tregelles; WH= WH;  Tyn= Tyndale House GNT. 
Spanish is based on  Marvel Bible Project as on 9-Jan-2019 from https://github.com/eliranwong/OpenGNT/blob/master/OpenGNT_BASE_TEXT.zip &  OpenGNT_keyedFeatures.csv.zip. This was available only for words in NA28. Other words are supplied by Tyndale scholars.
Sub-meanings: words with more than one meaning are supplied with a context-sensitive sub-meaning. Individuals and Places are identified as in TIPNR. Other are based on CSG (Context Sensitive Gloss) from Marvel Bible Project as at 9-Jan-2019 from https://github.com/eliranwong/OpenGNT/blob/master/OpenGNT_BASE_TEXT.zip &  OpenGNT_keyedFeatures.csv.zip. This was available only for words in NA28. Other words are supplied by Tyndale House who also edited the CSG for words where sub-meanings  were not sufficiently detailed. 
Conjoined data: links words that might not be translated (eg articles and particles) with the word they are connected to, which are often separated by several other words. 


Reference + word	Word #	Greek	English Translation	Strongs	Grammar	Dictionary form	English gloss	Editions		Spelling variants	Meaning variants	Spanish Translation	Sub-meaning	Super-meaning	Conjoin word
45_Act.001.002	=NA same TR ~~	ἐντειλάμενος	having given orders	G1781	V-ANP-NSM	ἐντέλλω	to order	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐντειλάμενος		habiendo dado mandato	to order			
45_Act.001.002	=NA same TR ~~	τοῖς	to the	G3588	T-DPM	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τοῖς		a los	the		»012:G0652	
45_Act.001.002	=NA same TR ~~	ἀποστόλοις	apostles	G0652	N-DPM	ἀπόστολος	apostle	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἀποστόλοις		enviados como emisarios	apostles			
45_Act.001.002	=NA same TR ~~	διὰ	by	G1223	PREP	διά	through/because of	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	διὰ		a través de	through			
45_Act.001.002	=NA same TR ~~	πνεύματος	[the] Spirit	G4151	N-GSN	πνεῦμα	spirit/breath	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	πνεύματος		espíritu	spirit§1_spirit			
45_Act.001.002	=NA same TR ~~	ἁγίου	Holy	G0040	A-GSN	ἅγιος	holy	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἁγίου		santo	holy§1_holy			
45_Act.001.002	=NA same TR ~~	οὓς	whom	G3739	R-APM	ὅς, ἥ	which	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	οὓς		cuales	which		»022:G1586	
45_Act.001.002	=NA same TR ~~	ἐξελέξατο	He had chosen,	G1586	V-AMI-3S	ἐκλέγω	to select	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐξελέξατο		seleccionó	to select			
45_Act.001.002	=NA same TR ~~	ἀνελήμφθη.	He was taken up,	G0353	V-API-3S	ἀναλαμβάνω	to take up	NA27+NA28+Tyn+SBL+WH+Treg+Byz+NIV ; TR	ἀνελήμφθη ; ἀνελήφθη		fue tomado hacia arriba	to take up			
															
															
# Act.1.3	οἷς	καὶ	παρέστησεν	ἑαυτὸν	ζῶντα	μετὰ	τὸ	παθεῖν	αὐτὸν	ἐν	πολλοῖς				
#_Translation	to whom	also	He presented	Himself	alive	after	the	suffering	of Him	with	many				
#_Word=Grammar	G3739=R-DPM	G2532=CONJ	G3936=V-AAI-3S	G1438=F-3ASM	G2198=V-PAP-ASM	G3326=PREP	G3588=T-ASN	G3958=V-2AAN	G0846=P-ASM	G1722=PREP	G4183=A-DPN				
#_Non-NA variants															
#_Act.1.3 cont.	τεκμηρίοις,	δι᾽	ἡμερῶν	τεσσεράκοντα	ὀπτανόμενος	αὐτοῖς	καὶ	λέγων	τὰ	περὶ	τῆς				
#_Translation	proofs,	during	days	forty	being seen	by them	and	speaking	the things	concerning	the				
#_Word=Grammar	G5039=N-DPN	G1223=PREP	G2250=N-GPF	G5062=A-GPF-NUI	G3700=V-PNP-NSM	G0846=P-DPM	G2532=CONJ	G3004=V-PAP-NSM	G3588=T-APN	G4012=PREP	G3588=T-GSF				
#_Non-NA variants															
#_Act.1.3 cont.	βασιλείας	τοῦ	θεοῦ.												
#_Translation	kingdom	<the>	of God.												
#_Word=Grammar	G0932=N-GSF	G3588=T-GSM	G2316=N-GSM												
#_Non-NA variants															
#_REFERENCE	WORD TYPE	GREEK	ENGLISH TRANSLATION	STRONGS	GRAMMAR	DICTIONARY FORM	GLOSS	EDITIONS	SPELLING VARIANTS	MEANING VARIANTS	SPANISH TRANSLATION	SUB-MEANING	SUPER-MEANING	CONJOIN WORD	
45_Act.001.003	=NA same TR ~~	οἷς	to whom	G3739	R-DPM	ὅς, ἥ	which	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	οἷς		a quienes	which		»006:G3936	
45_Act.001.003	=NA same TR ~~	καὶ	also	G2532	CONJ	καί	and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καὶ		también	and			
45_Act.001.003	=NA same TR ~~	παρέστησεν	He presented	G3936	V-AAI-3S	παρίστημι	to stand by	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	παρέστησεν		puso de pie al lado de	to stand by			
45_Act.001.003	=NA same TR ~~	ἑαυτὸν	Himself	G1438	F-3ASM	ἑαυτοῦ	my/your/him-self	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἑαυτὸν		a sí mismo	himself		«006:G3936	
45_Act.001.003	=NA same TR ~~	ζῶντα	alive	G2198	V-PAP-ASM	ζάω	to live	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ζῶντα		estando viviendo	to live			
45_Act.001.003	=NA same TR ~~	μετὰ	after	G3326	PREP	μετά	with/after	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	μετὰ		después	after			
45_Act.001.003	=NA same TR ~~	τὸ	the	G3588	T-ASN	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τὸ		(de) el	[that] which		»016:G3958	
45_Act.001.003	=NA same TR ~~	παθεῖν	suffering	G3958	V-2AAN	πάσχω	to suffer	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	παθεῖν		sufrir	to suffer			
45_Act.001.003	=NA same TR ~~	αὐτὸν	of Him	G0846	P-ASM	αὐτός	he/she/it/self	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	αὐτὸν		él	him		«016:G3958	
45_Act.001.003	=NA same TR ~~	ἐν	with	G1722	PREP	ἐν	in/on/among	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐν		en	with			
45_Act.001.003	=NA same TR ~~	πολλοῖς	many	G4183	A-DPN	πολύς	much	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	πολλοῖς		muchas	many			
45_Act.001.003	=NA same TR ~~	τεκμηρίοις,	proofs,	G5039	N-DPN	τεκμήριον	clear proof	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τεκμηρίοις		pruebas convincentes	clear proof			
45_Act.001.003	=NA same TR ~~	δι᾽	during	G1223	PREP	διά	through/because of	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	δι᾽		por	through			
